job_count,lat,lon
1,30.2792623,-97.7355305
458,30.2799825,-97.7376341
2,30.2803512,-97.7389592
148,30.2806856,-97.7401536
11,30.2810106,-97.7412644
347,30.2812808,-97.7423653
198,30.2815859,-97.7434077
64,30.2818914,-97.7444832
195,30.2822106,-97.7455675
16,30.2821046,-97.746902
193,30.2817053,-97.7495053
1,30.2819535,-97.748327
272,30.2806487,-97.7437636
44,30.2809554,-97.7448442
94,30.2812608,-97.7459168
150,30.280386,-97.7462405
4,30.280726,-97.7474232
170,30.2780867,-97.7490776
77,30.2785176,-97.7469354
5,30.27948,-97.7465813
309,30.280077,-97.7451637
66,30.2797782,-97.7440776
16,30.2803419,-97.7426799
33,30.2800475,-97.7415869
119,30.2797468,-97.7405109
3969,30.2794004,-97.7393326
2183,30.2790301,-97.7379909
20,30.2786884,-97.7367797
477,30.2783794,-97.7357019
36,30.277487,-97.7360476
1999,30.2781312,-97.7383299
96,30.2791573,-97.7419035
927,30.2782523,-97.7422594
1968,30.2785649,-97.7433343
30,30.2788693,-97.7444149
91,30.2779179,-97.7447761
114,30.2782222,-97.7458579
57,30.2772328,-97.7462196
24,30.2777593,-97.7472153
158,30.2761701,-97.7466109
505,30.2758545,-97.7455288
68,30.276928,-97.7451432
416,30.2766313,-97.7440643
283,30.2775965,-97.7437004
1399,30.277297,-97.7426262
429,30.2770017,-97.7415449
471,30.2776066,-97.7399838
15,30.277231,-97.7386605
2086,30.2765948,-97.736376
579,30.2750086,-97.7382532
4296,30.2752409,-97.7412845
22,30.2763343,-97.742979
553,30.2752753,-97.7433704
68,30.2755669,-97.7444651
5114,30.2737,-97.7332366
117,30.2740337,-97.7360768
36,30.2750498,-97.7425209
203,30.2732257,-97.7398998
484,30.2714992,-97.6981951
63,30.2680263,-97.7033426
4,30.2693399,-97.7055367
138,30.2659394,-97.7073353
8,30.2659357,-97.7042197
11,30.2652251,-97.7015321
8,30.2660928,-97.7004036
21,30.268074,-97.6994962
61,30.2670118,-97.6970879
24,30.2660936,-97.6961143
4,30.2648423,-97.696632
3,30.2648097,-97.70335
5,30.2635073,-97.7024017
8,30.262877,-97.7007061
589,30.2628576,-97.6985502
390,30.2632274,-97.6960815
5,30.2813329,-97.70381
2,30.280569,-97.7043559
10,30.2812705,-97.7046809
43,30.2801602,-97.7058564
10,30.2800396,-97.7077627
10,30.2771921,-97.7076705
2,30.2776966,-97.7036425
22,30.2783693,-97.7033732
1,30.2789951,-97.7039244
2,30.2798288,-97.7040681
1,30.2785481,-97.70209
22,30.2764499,-97.7063018
42,30.2768388,-97.7034791
3,30.2770708,-97.7014865
29,30.2746323,-97.7012985
41,30.274339,-97.7035348
30,30.2742736,-97.7061848
28,30.272438,-97.7089462
180,30.2729961,-97.7112399
2,30.2741243,-97.7138351
9,30.2669593,-97.7127906
12,30.2673328,-97.7124667
2,30.2672167,-97.7096599
6,30.2686526,-97.7108495
134,30.27671,-97.7115078
1,30.2782351,-97.7105937
14,30.2776497,-97.7112396
23,30.2805007,-97.7103388
24,30.2806997,-97.7118521
4,30.2796062,-97.711623
10,30.279166,-97.7144196
4,30.2779091,-97.7162096
11,30.2770968,-97.7149971
1,30.2773943,-97.7130766
3,30.276267,-97.7138118
39,30.2761681,-97.7153155
2,30.2751148,-97.7145811
34,30.2752792,-97.7136164
14,30.2749522,-97.7156403
7,30.2797506,-97.7178059
17,30.2792237,-97.719189
33,30.2793365,-97.7205791
2,30.2786307,-97.7178557
2,30.2777,-97.7174581
1,30.2756645,-97.7177733
42,30.2765172,-97.7189497
25,30.2763607,-97.7199405
20,30.2753526,-97.7197175
2,30.2743454,-97.7194971
2,30.274502,-97.7185215
3,30.2746566,-97.7175635
42,30.2792276,-97.7215993
30,30.2768144,-97.7266478
14,30.2753219,-97.7311054
1,30.2756529,-97.7300483
20,30.2747642,-97.7299974
1,30.2749556,-97.7288943
4,30.2750289,-97.7216932
1,30.2780526,-97.7223579
3,30.2751894,-97.7207069
49,30.2742072,-97.7204884
1,30.2735545,-97.7245105
6,30.2740835,-97.7260012
5,30.2738575,-97.7273781
22,30.2738252,-97.7298523
13,30.2725051,-97.7309644
19,30.2727668,-97.7296303
17,30.2729628,-97.728427
73,30.2731046,-97.7272265
13,30.2733338,-97.7258354
27,30.273788,-97.716375
2,30.2724871,-97.7181229
3,30.2726356,-97.7171524
2,30.2728014,-97.7161637
8,30.2716283,-97.7169296
1,30.2713219,-97.7188779
3,30.2702971,-97.7186503
1,30.2704571,-97.7176761
16,30.270753,-97.7157341
17,30.2690766,-97.7152557
3,30.2683931,-97.7166574
12,30.2685069,-97.7183788
5,30.266991,-97.7193727
140,30.272271,-97.7250273
4,30.2719803,-97.7288084
51,30.2717624,-97.7302613
3,30.2710178,-97.7316359
14,30.2711211,-97.7323491
3,30.2705875,-97.7267057
3,30.2685115,-97.720848
9,30.2685822,-97.7217376
1,30.2686112,-97.7226657
60,30.2680757,-97.7238374
30,30.2683038,-97.7254018
25,30.269442,-97.7251133
16,30.2692175,-97.7264235
5,30.2703708,-97.7290224
18,30.2688495,-97.7273482
15,30.2692075,-97.7282171
143,30.2696252,-97.7293846
36,30.2700982,-97.730668
1,30.2706547,-97.7303453
3,30.2679177,-97.7201559
2,30.2706627,-97.7197392
7,30.266168,-97.7148556
1,30.2656856,-97.715902
2,30.2650613,-97.7171774
5,30.2649364,-97.7187346
2,30.2649229,-97.7154411
5,30.2643916,-97.7144584
7,30.2641671,-97.7193005
4,30.26365,-97.7209037
13,30.2633663,-97.7196618
7,30.2630626,-97.7183604
1,30.263635,-97.7160894
21,30.262859,-97.7156064
53,30.2633776,-97.7144828
138,30.2624544,-97.7196943
35,30.2622703,-97.7168566
252,30.2646645,-97.722319
58,30.2679223,-97.7270119
168,30.2685263,-97.7287347
9,30.2690535,-97.7302109
81,30.2687729,-97.7321403
175,30.2669266,-97.7324159
13,30.2671376,-97.7306631
20,30.2662528,-97.7279877
29,30.2666365,-97.7292406
218,30.2656648,-97.7294955
16,30.2661542,-97.7309071
25,30.2652624,-97.7282746
23,30.2641981,-97.7254104
36,30.2651377,-97.7202472
128,30.2591873,-97.7016847
14,30.2591864,-97.7022867
79,30.2610467,-97.7029491
55,30.2626692,-97.7062294
16,30.2641354,-97.7096896
7,30.2620304,-97.7108193
10,30.2607021,-97.7110937
86,30.2626058,-97.714293
26,30.2618326,-97.7153832
8,30.2614937,-97.71645
5,30.2611485,-97.7126375
2,30.2613835,-97.7140779
2,30.2611899,-97.7079063
80,30.2597126,-97.7063859
49,30.2570113,-97.7020543
43,30.2577336,-97.7035317
37,30.2583498,-97.7048878
379,30.259027,-97.7117129
1,30.259787,-97.7131283
18,30.2590266,-97.7134758
40,30.2604183,-97.7127314
941,30.2600907,-97.7151139
447,30.2615067,-97.7202072
364,30.2596594,-97.7179927
111,30.260016,-97.721013
79,30.2610861,-97.7167616
584,30.2570619,-97.7084625
14,30.2577798,-97.7052131
119,30.2588255,-97.7156827
45,30.2574342,-97.7120114
21,30.2559984,-97.7108145
2,30.2550886,-97.7112375
27,30.2562078,-97.705889
1,30.2569219,-97.7040246
47,30.2562394,-97.7026421
754,30.2530714,-97.7063595
36,30.2550153,-97.7083492
5,30.2535969,-97.7090254
159,30.2532826,-97.7120858
43,30.2529399,-97.7111032
727,30.2524217,-97.7097488
15,30.2549308,-97.702923
93,30.2553607,-97.7043355
77,30.253863,-97.7046362
3,30.2562005,-97.7115903
1,30.2569269,-97.7127906
108,30.2581729,-97.7166571
29,30.2588586,-97.7186503
175,30.2595578,-97.7212195
4,30.2578152,-97.717411
2,30.2583359,-97.7188906
192,30.2586743,-97.7216291
3,30.2582894,-97.7235078
3,30.2573306,-97.7176557
2,30.2578424,-97.7191087
33,30.2570538,-97.7229225
43,30.2573956,-97.7239075
